Field,Bad,Good
Coverage Geographic,"Kirindy Swiss Forest, Madagascar",Kirindy Forest Morondava Madagascar
Coverage Geographic,Kitava Island. Papua New Guinea,"Kitava Island, , Trobrian Islands, Papua New Guinea"
Coverage Geographic,Kitava. Trobriand Islands. Papua New Guinea,"Kitava Island, , Trobrian Islands, Papua New Guinea"
Coverage Geographic,Kitava. Trobriands. Papua New Guinea,"Kitava Island, , Trobrian Islands, Papua New Guinea"
Coverage Geographic,Koepanng. Timor Island. Lesser Sunda Islands. Indonesia.Indonesia,"Koepang, Timor Island, Lesser Sunda Islands, Indonesia"
Coverage Geographic,"Kopiago, Papua New Guinea","Kopiago, Papua New Guinea"
Coverage Geographic,"Korogo, Papua New Guinea","Korogo, Papua New Guinea"
Coverage Geographic,"Kungava Beach, Rennell Island. Solomon Islands.","Kungava Beach, Rennell Island, Solomon Islands"
Coverage Geographic,"Kungava, Rennell Island. Solomon Islands.","Kungava Beach, Rennell Island, Solomon Islands"
Coverage Geographic,"Kungava, Rennell. Solomon Islands.","Kungava Beach, Rennell Island, Solomon Islands"
Coverage Geographic,"La Mandraka Nature Farm, Madagascar","La Mandraka Nature Farm, Madagascar"
Coverage Geographic,"Lakana Vezo, Ifaty, Madagascar","Lakana Vezo, Ifaty, Madagascar"
Coverage Geographic,"Lake Anosy, Antananarivo, Madagascar","Lake Anosy, Antananarivo, Madagascar"
Coverage Geographic,"Lake Baringo, Kenya, Africa","Lake Baringo, Kenya, Africa"
Coverage Geographic,"Lake Bogoria, Kenya, Africa","Lake Bogoria, Kenya, Africa"
Coverage Geographic,"Lake Chad, Mali, Africa","Lake Chad, Mali, Africa"
Coverage Geographic,"Lake Elmenteita, Kenya, Africa","Lake Elmenteita, Kenya, Africa"
Coverage Geographic,"Lake Naivasha, Kenya, Africa","Lake Naivasha, Kenya, Africa"
Coverage Geographic,"Lake Nakuru, Kenya, Africa","Lake Nakuru, Kenya, Africa"
Coverage Geographic,"Lake Natron, Kenya, Africa","Lake Natron, Kenya, Africa"
Coverage Geographic,"Lake Tsimanampetsotsa Reserve, Madagascar","Lake Tsimanampetsotsa, Madagascar"
Coverage Geographic,"Lake Tsimanampetsotsa, Madagascar","Lake Tsimanampetsotsa, Madagascar"
Coverage Geographic,"Lake Turkana (Lake Rudolph), Kenya, Africa","Lake Turkana (Lake Rudolf), Kenya, Africa"
Coverage Geographic,"Lavaka, Madagascar","Lavaka, Madagascar"
Coverage Geographic,"Linta River, Madagascar","Linta River, Madagascar"
Coverage Geographic,"Lokobe Reserve, Nosy Be, Madagascar",Lokobe Reserve (Nosy Be) Madagascar
Coverage Geographic,"Lokoho River, Madagascar","Lokoho River, Madagascar"
Coverage Geographic,"Lokoho River, southwest of Sambava, Madagascar","Lokoho River, Madagascar"
Coverage Geographic,Los Angeles Harbor,Los Angeles Harbor
Coverage Geographic,Los Gatos (Calif.),"Los Gatos, California"
Coverage Geographic,"Losuia village, Kirivina Island. Trobriands. Papua New Guinea","Losuia, Kiriwina Island, Trobriand, Papua New Guinea"
Coverage Geographic,"Losuia, Kirivina Island. Trobriands. Papua New Guinea","Losuia, Kiriwina Island, Trobriand, Papua New Guinea"
Coverage Geographic,Madagascar,Madagascar
Coverage Geographic,"Madang Province, Papua New Guinea","Madang Province, Papua New Guinea"
Coverage Geographic,"Madura, Indonesia, Asia.","Madura, Indonesia, Asia"
Coverage Geographic,"Mahafaly Plateau, Itampolo, road to, Madagascar","Mahafaly Plateau, Itampolo, Madagascar"
Coverage Geographic,"Majunga, east of, Madagascar","Mahajanga, Madagascar"
Coverage Geographic,"Majunga, near, Madagascar","Mahajanga, Madagascar"
Coverage Geographic,"Malekula Island, New Hebrides. Vanuatu. South Pacific Ocean","Malekula Island, New Hebrides (Vanuatu) South Pacific Ocean"
Coverage Geographic,"Malta, Europe","Malta, Europe"
Coverage Geographic,"Mananara, vicinity, Madagascar","Mananara, Madagascar"
Coverage Geographic,"Mandraka Nature Farm, Madagascar","Mandraka Nature Farm, Madagascar"
Coverage Geographic,"Mandraka, Madagascar","Mandraka, Madagascar"
Coverage Geographic,"Mangily, near, Madagascar","Mangily, Madagascar"
Coverage Geographic,Marin County (Calif.),"Marin County, California"
Coverage Geographic,Marin County (Calif.),"Marin County, California"
Coverage Geographic,"Maroantsetra, Madagascar","Maroantsetra, Madagascar"
Coverage Geographic,"Maroantsetra, Motel Coco Beach, Madagascar","Maroantsetra, Madagascar"
Coverage Geographic,"Maroantsetra, south of, Madagascar","Maroantsetra, Madagascar"
Coverage Geographic,"Marquesas Island, Tiki. French Polynesia.","Marquesas Island, French Polynesia"
Coverage Geographic,"Marsabit, Kenya, Africa","Marsabit, Kenya, Africa"
Coverage Geographic,"Masoala Peninsula, Madagascar","Masoala, Madagascar"
Coverage Geographic,"Matadi, Congo, Africa","Matadi, Congo, Africa"
Coverage Geographic,"Mediterranean, Europe","Mediterranean, Europe"
Coverage Geographic,"Melanesia,  South Pacific Ocean","Melanesia, South Pacific Ocean"
Coverage Geographic,Mexican coast.,Mexican coast
Coverage Geographic,Mexico,Mexico
Coverage Geographic,"Mexico, west coast (probably)",Mexico
Coverage Geographic,Michigan,Michigan
Coverage Geographic,Mill Valley (Calif.),"Mill Valley, California"
Coverage Geographic,Minas Gerais (Brazil),"Minas Gerais, Brazil"
Coverage Geographic,"Mission Dolores, Baja","Mission Dolores, Baja California"
Coverage Geographic,"Mission Dolores, Baja California","Mission Dolores, Baja California"
Coverage Geographic,"Montagne des Francais, near Antsiranana on Baire des Francais, Madagascar","Montagne des Francais, Madagascar"
Coverage Geographic,"Montague D'Ambre National Park, Madagascar","Montagne D'Ambre National Park, Madagascar"
Coverage Geographic,Montana,Montana
Coverage Geographic,Monterey (Calif.),"Monterey, California"
Coverage Geographic,"Monterey Bay, California","Monterey Bay, California"
Coverage Geographic,Monument Valley (Utah),"Monument Valley, Utah"
Coverage Geographic,"Moorea, Society Islands. French Polynesia. South Pacific Ocean","Moorea, Society Islands, French Polynesia, South Pacific Ocean"
Coverage Geographic,"Morondava, north of, Madagascar","Morondava, Madagascar"
Coverage Geographic,Moss Beach (Calif.),"Moss Beach, California"
Coverage Geographic,Moss Beach CA,"Moss Beach, California"
Coverage Geographic,"Mount Crocker, Indefatigable Island, Galapagos Islands. (Santa Cruz Island)","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Mount Kenya, Kenya, Africa","Mount Kenya, Kenya, Africa"
Coverage Geographic,"Mount Kila, Tanzania, Africa","Mount Kilimanjaro,Tanzania, Africa"
Coverage Geographic,"Mount Kilimanjaro,Tanzania, Africa","Mount Kilimanjaro,Tanzania, Africa"
Coverage Geographic,Mount Rainier National Park (Wash.),"Mount Rainier National Park, Washington"
Coverage Geographic,Mount Robson Provincial Park (B.C.),"Mount Robson Provincial Park, British Colombia"
Coverage Geographic,Mount Tamalpais (Calif.),"Mount Tamalpais, California"
Coverage Geographic,"Mount Vatovavy, Madagascar","Mount Vatovavy, Madagascar"
Coverage Geographic,"Mozambique Channel, near Ifaty, Madagascar","Mozambique, Africa"
Coverage Geographic,"Mozambique, Africa","Mozambique, Africa"
Coverage Geographic,Muir Woods National Monument (Calif.),"Muir Woods National Monument, California"
Coverage Geographic,"Murceliago Bay, Costa Rica","Murcielago Bay, Costa Rica"
Coverage Geographic,"Nairobi, Kenya, Africa","Nairobi, Kenya, Africa"
Coverage Geographic,"Namibia, Africa","Namibia, Africa"
Coverage Geographic,"Narborough Island (Fernandina), Galapagos","Fernandina (Narborough) Island, Galapagos Islands"
Coverage Geographic,"Narborough Island, Galapagos Islands, Ecuador","Fernandina (Narborough) Island, Galapagos Islands"
Coverage Geographic,"Narborough Island, Galapagos Islands. (Fernandina Island)","Fernandina (Narborough) Island, Galapagos Islands"
Coverage Geographic,"Narborough Island, Galapagos. (Fernandina Island)","Fernandina (Narborough) Island, Galapagos Islands"
Coverage Geographic,"NE of Ihosy on National Highway 7, enroute to Isalo National Park, Madagascar","Isalo National Park, Madagascar"
Coverage Geographic,"Near  Santo Tomas, inland on Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,Near Muir Woods National Monument (Calif.),"Muir Woods National Monument, California"
Coverage Geographic,"Near San Nicholas Island, California, United States","San Nicolas Island, California"
Coverage Geographic,"Near settlement of Villamiel, Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,Near Tulagi. Solomon Islands.,"Tulagi, Solomon Islands"
Coverage Geographic,"Near village of Santo Tomas, inland on Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,New Guinea,New Guinea
Coverage Geographic,New Hebrides. Vanuatu. South Pacific Ocean,"New Hebrides, Vanuatu, South Pacific Ocean"
Coverage Geographic,New Mexico,New Mexico
Coverage Geographic,"Ngorongoro Crater, Tanzania, Africa","Ngorongoro Crater, Tanzania, Africa"
Coverage Geographic,"Northeast Albemarle Island, Galapagos Islands","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Northeast Albemarle Island, Galapagos Islands. (Isabela Island)","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,northern California coast,Northern California coast
Coverage Geographic,"Northern Crater, Tanzania, Africa","Ngorongoro Crater, Tanzania, Africa"
Coverage Geographic,"Northern Frontier District, Kenya, Africa","Northern Frontier District, Kenya, Africa"
Coverage Geographic,"Nosy Be, Andilana Beach Hotel, near, Madagascar","Nosy Be, Andilana Beach Resort, Madagascar"
Coverage Geographic,"Nosy Be, Andilano Beach Hotel, Madagascar","Nosy Be, Andilana Beach Resort, Madagascar"
Coverage Geographic,"Nosy Be, Madagascar","Nosy Be, Andilana Beach Resort, Madagascar"
Coverage Geographic,"Nosy Be, nearAndilano Beach Hotel, Madagascar","Nosy Be, Andilana Beach Resort, Madagascar"
Coverage Geographic,"Nosy Lonja, Bay of Diego Suarez, Madagascar","Nosy Lonja, Bay of Diego Suarez, Madagascar"
Coverage Geographic,"Nosy Mangabe, Bay of Antongil, Madagascar","Nosy Mangabe, Antongil Bay, Madagascar"
Coverage Geographic,"Nosy Mangabe, enroute, Madagascar","Nosy Mangabe, Antongil Bay, Madagascar"
Coverage Geographic,"Nosy Mangabe, Madagascar","Nosy Mangabe, Antongil Bay, Madagascar"
Coverage Geographic,"Nosy Mangabe, west shore, Madagascar","Nosy Mangabe, Antongil Bay, Madagascar"
Coverage Geographic,Nuka Hiva (French Polynesia),"Nuka Hiva, French Polynesia"
Coverage Geographic,Oakland (Calif.),"Oakland, California"
Coverage Geographic,Off Mexican coast,Mexico
Coverage Geographic,"On board, Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"On board, Duncan Island, Galapagos Islands, Ecuador","Pinzon (Duncan) Island, Galapagos Islands"
Coverage Geographic,On deck,
Coverage Geographic,"on road between Hellville and Andilana Beach, Nosy Be, Madagascar","Nosy Be, Andilana Beach Resort, Madagascar"
Coverage Geographic,"on road from Diego to Ankarana Reserve, Madagascar","Ankarana Reserve, Madagascar"
Coverage Geographic,"on trail to Antsahabe, Madagascar","Antsahabe, Madagascar"
Coverage Geographic,on way to Suez,Suez
Coverage Geographic,Outside San Francisco Bay,San Franicsco Bay
Coverage Geographic,"Pago Pago, Tituila, Samoa","Pago Pago, Tutuila, Samoa"
Coverage Geographic,"Pago Pago.  Tutuila Island, American Samoa. South Pacific Ocean","Pago Pago, Tutuila, Samoa"
Coverage Geographic,Panama Canal. Central America,"Panama Canal, Central America"
Coverage Geographic,"Papeete Harbor, Tahiti, French Oceania","Papeete Harbor, Tahiti, French Oceania"
Coverage Geographic,"Papeete, Tahiti, French Oceania","Papeete Harbor, Tahiti, French Oceania"
Coverage Geographic,"Papeete, Tahiti. Society Islands. French Polynesia. South Pacific Ocean","Papeete Harbor, Tahiti, French Oceania"
Coverage Geographic,Papua New Guinea,Papua New Guinea
Coverage Geographic,"Perinet Lemur Reserve to Ambila Lemaitso, Madagascar","Perinet (Andasibe) Reserve, Madagascar"
Coverage Geographic,"Perinet Lemur Reserve, Madagascar","Perinet (Andasibe) Reserve, Madagascar"
Coverage Geographic,"Perinet Reserve, Madagascar","Perinet (Andasibe) Reserve, Madagascar"
Coverage Geographic,"Perinet Station to  Lemur Reserve, Madagascar","Perinet (Andasibe) Reserve, Madagascar"
Coverage Geographic,"Perinet Station to Lemur Reserve, Madagascar","Perinet (Andasibe) Reserve, Madagascar"
Coverage Geographic,"Perinet/ Analamazaotra Reserve, Madagascar","Perinet (Andasibe) Reserve, Madagascar"
Coverage Geographic,"Perinet/Analamazoatra Special Reserve, Madagascar","Perinet (Andasibe) Reserve, Madagascar"
Coverage Geographic,Petrified Forest National Park (Ariz.),"Petrified Forest National Park, Arizona"
Coverage Geographic,Philippines,Philippines
Coverage Geographic,Pikes Peak (Colo.),"Pikes Peak, Colorado"
Coverage Geographic,Pinnacles National Monument (Calif.),"Pinnacles National Monument, California"
Coverage Geographic,"Pinta Island, Galapagos","Pinta (Louis) Island, Galapagos Islands"
Coverage Geographic,Pinzon Island (Galapagos Islands),"Pinzon (Duncan) Island, Galapagos Islands"
Coverage Geographic,"Pitcairn Island, South Pacific Ocean","Pitcairn Island, South Pacific Ocean"
Coverage Geographic,Point Hope (Alaska),"Point Hope, Alaska"
Coverage Geographic,Point Reyes Peninsula (Calif.),"Point Reyes Peninsula, California"
Coverage Geographic,"Pompeii, Italy","Pompeii, Italy"
Coverage Geographic,"Port Moresby, Papua New Guinea","Port Moresby, Papua New Guinea"
Coverage Geographic,"Porto Chico, Chatham Island, Galapagos Islands, Ecuador","San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,"Post Office Bay, Charles Island, Galapagos Islands","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Post Office Bay, Charles Island, Galapagos Islands, Ecuador","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Post Office Bay, Charles Island.","Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,Probably Alaska,Alaska
Coverage Geographic,Probably Ansel Adams Wilderness (Calif.),"Ansel Adams Wilderness, California"
Coverage Geographic,Probably California,California
Coverage Geographic,Probably Denver (Colo.),"Denver, Colorado"
Coverage Geographic,Probably Espa�ola Island/Hood Island (Galapagos Islands),"Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,Probably Espa�ola Island/Hood Island (Galapagos Islands),"Espanola (Hood) Island, Galapagos Islands"
Coverage Geographic,Probably Galapago Islands,Galapagos Islands
Coverage Geographic,Probably Galapagos Islands,Galapagos Islands
Coverage Geographic,Probably Isabela Island (Galapagos Islands),"Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,Probably Italy,Italy
Coverage Geographic,Probably Oregon,Oregon
Coverage Geographic,Probably Rarotonga. Cook Islands. Pacific Ocean,"Rarotonga, Cook Islands, Pacific Ocean"
Coverage Geographic,Probably San Cristobal Island (Galapagos Islands),"San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,Probably San Francisco (Calif.),"San Francisco, California"
Coverage Geographic,Probably San Francisco (Calif.),"San Francisco, California"
Coverage Geographic,Probably San Francisoc (Calif.),"San Francisco, California"
Coverage Geographic,Probably Sequoia and Kings Canyon National Parks (Calif.),"Sequoia and Kings Canyon National Parks, California"
Coverage Geographic,Probably Sierra Nevada (Calif. And Nev.),"Sierra Nevada, U.S."
Coverage Geographic,"Probably Tower Island, Galapagos. (Genovesa Island)","Genovesa (Tower) Island, Galapagos Islands"
Coverage Geographic,Probably Yellowstone National Park,Yellowstone National Park
Coverage Geographic,Probably Yosemite National Park (Calif.),"Yosemite National Park, California"
Coverage Geographic,"Puka Puka Island, Cook Islands","Pukapuka Island, Cook Islands"
Coverage Geographic,Pullman (Wash.),"Pullman, Washington"
Coverage Geographic,Pyramid Lake (Calif.),"Pyramid Lake, California"
Coverage Geographic,"Pyramid Lake, Nevada","Pyramid Lake, Nevada"
Coverage Geographic,"Raiatea, Society Islands. French Polynesia. South Pacific Ocean","Raiatea, Society Islands, French Polynesia, South Pacific Ocean"
Coverage Geographic,"Ramena Beach, Bay of Diego Suarez, Madagascar",Ramena Beach (Diego-Suarez Bay) Madagascar
Coverage Geographic,"Ramena Beach, Madagascar","Ramena Beach, Madagascar"
Coverage Geographic,"Ramena Beach, near Antsiranana, Madagascar","Ramena Beach, Madagascar"
Coverage Geographic,"Ramena Beach, near, Madagascar","Ramena Beach, Madagascar"
Coverage Geographic,"Rano Roraka, Easter Island, Chile","Rano Raraku, Easter Island, Chile"
Coverage Geographic,"Ranomafana National Park, Madagascar","Ranomafana National Park, Madagascar"
Coverage Geographic,Rarotonga Cook Islands. South Pacific Ocean,Rarotonga (Cook Islands) South Pacific Ocean
Coverage Geographic,"Rattlesnake Canyon (Santa Barbara County, Calif.)","Rattlesnake Canyon, Santa Barbara County,, California"
Coverage Geographic,"Rennell Island, Solomon Islands","Rennell Island, Solomon Islands"
Coverage Geographic,Revillagigedo Islands,"Revillagigedo Islands, Mexico"
Coverage Geographic,Revillagigedo Islands (Mexico),"Revillagigedo Islands, Mexico"
Coverage Geographic,"Rewa River, Viti Levu Island, Fiji. South Pacific Ocean","Rewa River, Viti Levu Island, Fiji, South Pacific Ocean"
Coverage Geographic,"Rift Wall, Kenya, Africa","Rift Valley, Kenya, Africa"
Coverage Geographic,"Road between Sambava and Andaga, Madagascar","Sambava and Andapa, Madagascar"
Coverage Geographic,"Road from Behaloka to Betioky, Madagascar","Beheloka and Betioky, Madagascar"
Coverage Geographic,"road from Diego to Mahamasina, Madagascar","Diego and Mahamasina, Madagascar"
Coverage Geographic,"road from Tamatave to Antanarivo, Madagascar","Tamatave and Antananarivo, Madagascar"
Coverage Geographic,"road from Tsiombe to Beloha, Madagascar","Tsihombe and Beloha, Madagascar"
Coverage Geographic,"road to Ambatolampy from Tana, Madagascar","Ambatolampy and Tana, Madagascar"
Coverage Geographic,"road to Andapa from Sambava, Madagascar","Andapa and Sambava, Madagascar"
Coverage Geographic,"road to Androka, Madagascar","Androka, Madagascar"
Coverage Geographic,"road to Berenty Reserve, Madagascar","Berenty Reserve, Madagascar"
Coverage Geographic,"road to Beza Mahafaly Reserve, Madagascar","Beza Mahafaly Reserve, Madagascar"
Coverage Geographic,"road to Beza Mahafaly Special Reserve, Madagascar","Beza Mahafaly Reserve, Madagascar"
Coverage Geographic,"road to Linta River and Androka, Madagascar","Linta River and Androka, Madagascar"
Coverage Geographic,"road to Lokoho River near Sambava, Madagascar","Lokoho River near Sambava, Madagascar"
Coverage Geographic,"road to Tulear, Highway 7, from Sakaraha, Madagascar","Tulear from Sakaraha, Madagascar"
Coverage Geographic,"road to Tulear, Madagascar","Tulear, Madagascar"
Coverage Geographic,Robert Louis Stevenson State Park (Calif.),"Robert Louis Stevenson State Park, California"
Coverage Geographic,"Ronda, Spain","Ronda, Spain"
Coverage Geographic,Russian Federation,Russian Federation
Coverage Geographic,"Rwanda, Africa","Rwanda, Africa"
Coverage Geographic,"Sacramento River, California","Sacramento River, California"
Coverage Geographic,"Sagami Bay, Japan","Sagami Bay, Japan"
Coverage Geographic,"Sahara Desert, Tunisia, Africa","Sahara Desert, Tunisia, Africa"
Coverage Geographic,"Sambava airport, near, Madagascar","Sambava, Madagascar"
Coverage Geographic,"Sambava cemetery, Madagascar","Sambava cemetery, Madagascar"
Coverage Geographic,"Sambava, Bemariro River, Madagascar","Sambava, Bemariro River, Madagascar"
Coverage Geographic,"Sambava, cemetery, Madagascar","Sambava cemetery, Madagascar"
Coverage Geographic,"Sambava, cultivated near, Madagascar","Sambava, Madagascar"
Coverage Geographic,"Sambava, Madagascar","Sambava, Madagascar"
Coverage Geographic,"Sambava, near, Madagascar","Sambava, Madagascar"
Coverage Geographic,"Sambava, north of, Madagascar","Sambava, Madagascar"
Coverage Geographic,"Sambava, southwest of, Madagascar","Sambava, Madagascar"
Coverage Geographic,"Sambava, southwest of. Lo Koho River, Madagascar","Sambava, Madagascar"
Coverage Geographic,"Sambava, west of, Madagascar","Sambava, Madagascar"
Coverage Geographic,Samoa. South Pacific Ocean,"Samoa, South Pacific Ocean"
Coverage Geographic,San Benedicto Island (Revillagigedo Islands),"Revillagigedo Islands, Mexico"
Coverage Geographic,San Cristobal Island (Galapagos Islands),"San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,"San Cristobal Island, Galapagos","San Cristobal (Chatham) Island, Galapagos Islands"
Coverage Geographic,San Diego County (Calif.),"San Diego County, California"
Coverage Geographic,San Diego County (Calif.),"San Diego County, California"
Coverage Geographic,"San Diego, California","San Diego, California"
Coverage Geographic,San Francisco,"San Francisco, California"
Coverage Geographic,San Francisco (Calif.),"San Francisco, California"
Coverage Geographic,San Francisco (Calif.),"San Francisco, California"
Coverage Geographic,San Francisco Bay (Calif.),"San Francisco, California"
Coverage Geographic,San Francisco CA,"San Francisco, California"
Coverage Geographic,"San Francisco, CA","San Francisco, California"
Coverage Geographic,"San Francisco, California","San Francisco, California"
Coverage Geographic,San Fransisco,"San Francisco, California"
Coverage Geographic,San Joaquin County (Calif.),"San Joaquin County, California"
Coverage Geographic,San Luis Obispo County (Calif.),"San Luis Obispo County, California"
Coverage Geographic,"San Martin Island, Mexico","San Martin Island, Mexico"
Coverage Geographic,San Mateo County (Calif.),"San Mateo County, California"
Coverage Geographic,"San Pablo, Spain","San Pablo, Spain"
Coverage Geographic,Santa Ana (Calif.),"Santa Ana, California"
Coverage Geographic,Santa Anna Island,Santa Anna Island
Coverage Geographic,Santa Catalina Island,"Santa Catalina Island, California"
Coverage Geographic,Santa Clara County (Calif.),"Santa Clara County, California"
Coverage Geographic,Santa Cruz Island (Galapagos Islands),"Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,Santa Cruz Island (Galapagos Islands),"Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"Santa Cruz Island, Galapagos","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,Santa Maria Island/Floreana Island (Galapagos Islands),"Floreana (Charles or Santa Mar�a) Island, Galapagos Islands"
Coverage Geographic,"Santo Tomas, Albemarle Island, Galapagos. (Isabela Island)","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Santo Tomas, Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Sao Tome and Principe, Africa","Sao Tome and Principe, Africa"
Coverage Geographic,"Sausalito, California.","Sausalito, California"
Coverage Geographic,Scott's Ranch Trinity Center,"Scott's Ranch Trinity Center, California"
Coverage Geographic,Sebastopol (Calif.),"Sebastopol, California"
Coverage Geographic,"Senegal, Africa","Senegal, Africa"
Coverage Geographic,"Sepik village woman, Papua New Guinea","Sepik village, Papua New Guinea"
Coverage Geographic,Sequoia and Kings Canyon National Parks (Calif.),"Sequoia and Kings Canyon National Parks, California"
Coverage Geographic,Sequoia National Park (Calif.),"Sequoia National Park, California"
Coverage Geographic,Sequoia National Park (Calif.),"Sequoia National Park, California"
Coverage Geographic,"Settlement of Villamiel, Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Sevilla, Spain","Seville, Spain"
Coverage Geographic,"Seychelles, Africa","Seychelles, Africa"
Coverage Geographic,Seymour Island in the Galapagos,"North Seymour Island, Galapagos Islands"
Coverage Geographic,"Seymour Island, Galapagos Islands","North Seymour Island, Galapagos Islands"
Coverage Geographic,"Seymour Island, Galapagos Islands. (Baltra Island)","Baltra (South Seymour) Island, Galapagos Islands"
Coverage Geographic,"Seymour Island, Galapagos Islands. (Seymour Norte Island)","North Seymour Island, Galapagos Islands"
Coverage Geographic,"Seymour Island, Indefatigable Island, Galapagos Islands, Ecuador","Santa Cruz (Indefatigable) Island, Galapagos Islands"
Coverage Geographic,"SF Bay, California","San Francisco Bay, California"
Coverage Geographic,Shipboard,
Coverage Geographic,"Shipboard, Bellona Island. Solomon Islands.","Bellona Island, Solomon Islands"
Coverage Geographic,"Shipboard, near Abingdon Island. (Now named Pinta Island)","Pinta (Abingdon) Island, Galapagos Islands"
Coverage Geographic,Shipboard.,
Coverage Geographic,Sierra National Forest (Calif.),"Sierra National Forest, California"
Coverage Geographic,Sierra Nevada (Calif. and Nev.),"Sierra Nevada, U.S."
Coverage Geographic,Sierra Nevada (Calif. and Nev.),"Sierra Nevada, U.S."
Coverage Geographic,"Socorro Island, Mexico","Socorro Island, Mexico"
Coverage Geographic,Socorro Island.,"Socorro Island, Mexico"
Coverage Geographic,"Soerabaja (Surabaja), Java, Indonesia, Asia.","Soerabaja (Surabaya), Java, Indonesia"
Coverage Geographic,Solomon Island,Solomon Islands
Coverage Geographic,Solomon Islands,Solomon Islands
Coverage Geographic,Sonoma (Calif.),"Sonoma, California"
Coverage Geographic,Sonoma County (Calif.),"Sonoma County, California"
Coverage Geographic,"South Africa, Africa","South Africa, Africa"
Coverage Geographic,South America,South America
Coverage Geographic,"South Chimcha Island, Peru","South Chincha Islands, Peru"
Coverage Geographic,"South of Ambalavao enroute to Ihosy, Madagascar","Ambalavao to Ihosy, Madagascar"
Coverage Geographic,"South Seymour Island, Galapagos Islands","Baltra (South Seymour) Island, Galapagos Islands"
Coverage Geographic,"South Seymour Island, Galapagos Islands. (Baltra Island)","Baltra (South Seymour) Island, Galapagos Islands"
Coverage Geographic,Southern CA,Southern California
Coverage Geographic,"Southern Madagascar, Madagascar","Southern Madagascar, Madagascar"
Coverage Geographic,"southwest of Ranomafana on road to Highway #7, Madagascar","Ranomafana, Madagascar"
Coverage Geographic,Spain,Spain
Coverage Geographic,Stanford (Calif.),"Stanford, California"
Coverage Geographic,"Suez area, Red Sea. Africa","Suez, Red Sea, Africa"
Coverage Geographic,Suez area. Africa,"Suez, Africa"
Coverage Geographic,"Suez, near Port Sudan, Red Sea. Africa","Suez, near Port Sudan, Red Sea, Africa"
Coverage Geographic,Suez? Africa,"Suez, Africa"
Coverage Geographic,Suva. Fiji. South Pacific Ocean,"Suva, Fiji, South Pacific Ocean"
Coverage Geographic,Sweden,Sweden
Coverage Geographic,"Swiss kirindy Forest, near, Madagascar","Swiss Kirindy Forest, Madagascar"
Coverage Geographic,"Tagus Cove, Albemarle Island, Galapagos Islands","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Tagus Cove, Albemarle Island, Galapagos. (Isabela Island)","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Tagus Cove, Albermarle Island, Galapagos Islands","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Tagus Cove, Galapagos","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Tagus Cove, Galapagos Islands","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Tagus Cove, Isabela Island, Galapagos Islands","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Tagus Cove, Settlement of Villamiel, Albermarle Island, Galapagos Islands, Ecuador","Isabela (Albemarle) Island, Galapagos Islands"
Coverage Geographic,"Tahaa Island, Society Islands. French Polynesia. South Pacific Ocean","Taha'a Island, Society Islands, French Polynesia, South Pacific Ocean"
Coverage Geographic,Tahoe National Forest (Calif.),"Tahoe National Forest, California"
Coverage Geographic,"Tai Lagoon, Malaita","Tai Lagoon, Malaita Island (Solomon Islands)"
Coverage Geographic,"Tai Lagoon, Malaita Island. Solomon Islands.","Tai Lagoon, Malaita Island (Solomon Islands)"
